X,Y,ID,COUNTY_ID,TOWN_ID,VILLAGE_ID,V_Name,T_Name,C_Name,TWD97x,TWD97y
118.31593475356185,24.434986770154143,0,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180636.950778562,2703369.32905445
118.31136985382035,24.436131128198163,1,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180174.693215987,2703498.37058477
118.32077535670855,24.441910536050795,2,09020,0902001,0902001-002,西門里,金城鎮,金門縣,181131.556225512,2704133.78046834
118.31828180559607,24.436784800906775,3,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180875.92555358,2703567.30311504
118.31681429669743,24.439087763039232,4,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180728.378445694,2703823.10953408
118.31506039388664,24.437364235827037,5,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180549.591689924,2703633.09230465
118.31763782435075,24.435948876414905,6,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180810.169674682,2703475.03879643
118.32291710532564,24.443120914258067,7,09020,0902001,0902001-002,西門里,金城鎮,金門縣,181349.376232303,2704266.77679338
118.3124977031725,24.435716987754141,8,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180288.830149629,2703451.93272477
118.31554473097371,24.436406880604601,9,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180598.179226523,2703526.81404747
118.31429836577131,24.435644099804215,10,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180471.379055897,2703442.95456992
118.3155872579225,24.437035670554835,11,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180602.835644122,2703596.4367108
118.31756520320896,24.437427702869009,12,09020,0902001,0902001-002,西門里,金城鎮,金門縣,180803.612939531,2703638.86796878
118.32245081004132,24.440623021769245,13,09020,0902001,0902001-002,西門里,金城鎮,金門縣,181300.742492397,2703990.34476144
118.32385126922979,24.441487105258435,14,09020,0902001,0902001-002,西門里,金城鎮,金門縣,181443.212004748,2704085.35539292
118.32333000344231,24.441302166449972,15,09020,0902001,0902001-002,西門里,金城鎮,金門縣,181390.257546066,2704065.13000604
118.32250813091618,24.440250649637047,16,09020,0902001,0902001-002,西門里,金城鎮,金門縣,181306.352864253,2703949.07287971
